"horodateur","books-read-per-week","physical-books-or-ebooks","daily-favorite-topics-to-read","happy","sad","surprised","fear","angry","disgust"
"2023/04/13 2:38:30 PM UTC+3","8","fiziksel kitapları / physical books","Bilim / Science;Bilimkurgu / Sci-fi;Biyografi / Biography;Çizgi roman / Comic;Fantezi / Fantasy;Felsefe / Philosophy;Gizem / Mystery;Hatıralar / Memories;Klasik / Classic;Romantik / Romance","Bilim / Science;Bilimkurgu / Sci-fi;Çizgi roman / Comic;Fantezi / Fantasy;Felsefe / Philosophy;Gizem / Mystery;Hatıralar / Memories;İşletme / Business;Klasik / Classic;Kurgu / Fiction;Maneviyat / Spriritual;Psikoloji / Psychology;Romantik / Romance;Sanat / Art;Spor Dalları / Sports;Şiir / Poetry","Biyografi / Biography;Felsefe / Philosophy;Hatıralar / Memories;Kişisel Yardımı / Personal Assistance;Kurgusal olmayan / Nonfiction;Maneviyat / Spriritual;Psikoloji / Psychology;Şiir / Poetry","Bilim / Science;Bilimkurgu / Sci-fi;Felsefe / Philosophy;Klasik / Classic;Spor Dalları / Sports","Bilim / Science;Bilimkurgu / Sci-fi;Gerilim / Thriller;Gizem / Mystery;Korku / Horror;Suç / Crime","Kişisel Yardımı / Personal Assistance;Korku / Horror;Kurgu / Fiction;Maneviyat / Spriritual;Şiir / Poetry;Suç / Crime;Yemek Kitapları / Cookbooks","Korku / Horror;Kurgu / Fiction;Kurgusal olmayan / Nonfiction;Maneviyat / Spriritual;Psikoloji / Psychology"
"2023/04/14 3:06:52 PM UTC+3","1","fiziksel kitapları / physical books","Psikoloji / Psychology","Bilim / Science;Çizgi roman / Comic","Maneviyat / Spriritual","Biyografi / Biography","Korku / Horror;Suç / Crime","Psikoloji / Psychology","Psikoloji / Psychology"
"2023/04/14 3:09:36 PM UTC+3","8","e-kitapları / e-books","Bilim / Science;Maneviyat / Spriritual;Spor Dalları / Sports;Tarih / History","Maneviyat / Spriritual","Korku / Horror;Kurgu / Fiction","Bilim / Science","Çizgi roman / Comic","Maneviyat / Spriritual","Kurgu / Fiction"
"2023/04/14 3:09:52 PM UTC+3","5","fiziksel kitapları / physical books","Bilim / Science;Bilimkurgu / Sci-fi;Çizgi roman / Comic;Fantezi / Fantasy;Felsefe / Philosophy;Hatıralar / Memories;İşletme / Business;Kurgu / Fiction;Kurgusal olmayan / Nonfiction;Maneviyat / Spriritual;Psikoloji / Psychology;Romantik / Romance;Sanat / Art;Seyahat / Travel;Şiir / Poetry;Suç / Crime;Tarih / History","Fantezi / Fantasy;Romantik / Romance;Seyahat / Travel","Maneviyat / Spriritual;Psikoloji / Psychology;Şiir / Poetry","Bilim / Science;Bilimkurgu / Sci-fi","Maneviyat / Spriritual;Psikoloji / Psychology","Hatıralar / Memories;Maneviyat / Spriritual;Psikoloji / Psychology","Suç / Crime"
"2023/04/14 3:10:17 PM UTC+3","6","e-kitapları / e-books","Biyografi / Biography;Çizgi roman / Comic;Fantezi / Fantasy;Gerilim / Thriller;Gizem / Mystery;Romantik / Romance","Çizgi roman / Comic;Fantezi / Fantasy;Romantik / Romance","Gerilim / Thriller;Gizem / Mystery","Bilimkurgu / Sci-fi;Gizem / Mystery;Suç / Crime","Çizgi roman / Comic;Fantezi / Fantasy","Gerilim / Thriller","Hatıralar / Memories;Kurgu / Fiction"
"2023/04/14 3:12:22 PM UTC+3","2","fiziksel kitapları / physical books","Bilim / Science;Fantezi / Fantasy;Kurgu / Fiction;Maneviyat / Spriritual","Korku / Horror","Maneviyat / Spriritual","Fantezi / Fantasy","Korku / Horror","Korku / Horror;Maneviyat / Spriritual","Seyahat / Travel"
"2023/04/14 3:19:16 PM UTC+3","1","e-kitapları / e-books","Bilim / Science;Maneviyat / Spriritual","Kurgusal olmayan / Nonfiction;Maneviyat / Spriritual","Bilim / Science;Maneviyat / Spriritual;Romantik / Romance","Gizem / Mystery","Felsefe / Philosophy","Çizgi roman / Comic;Romantik / Romance","Gerilim / Thriller"
"2023/04/14 3:30:07 PM UTC+3","1","fiziksel kitapları / physical books","Bilim / Science;Kişisel Yardımı / Personal Assistance;Psikoloji / Psychology;Spor Dalları / Sports","Bilim / Science;İşletme / Business;Kişisel Yardımı / Personal Assistance;Maneviyat / Spriritual;Psikoloji / Psychology;Seyahat / Travel;Spor Dalları / Sports","Psikoloji / Psychology","Bilim / Science","Maneviyat / Spriritual","Hatıralar / Memories","Yemek Kitapları / Cookbooks"
"2023/04/14 3:30:38 PM UTC+3","3","fiziksel kitapları / physical books","Bilimkurgu / Sci-fi;Çizgi roman / Comic;Fantezi / Fantasy;Gerilim / Thriller;Gizem / Mystery;Hatıralar / Memories;Klasik / Classic;Korku / Horror;Kurgu / Fiction;Romantik / Romance;Suç / Crime;Tarih / History","Çizgi roman / Comic;Fantezi / Fantasy;Gerilim / Thriller;Gizem / Mystery;Korku / Horror;Kurgu / Fiction;Tarih / History","Yemek Kitapları / Cookbooks","Bilim / Science;Bilimkurgu / Sci-fi;Biyografi / Biography;Suç / Crime;Tarih / History","İşletme / Business;Spor Dalları / Sports","Romantik / Romance","İşletme / Business"
"2023/04/14 3:37:06 PM UTC+3","2","e-kitapları / e-books","Fantezi / Fantasy;Gerilim / Thriller;Gizem / Mystery;Romantik / Romance;Suç / Crime","Çizgi roman / Comic;Fantezi / Fantasy;Romantik / Romance","Gerilim / Thriller;Gizem / Mystery;Suç / Crime","Çizgi roman / Comic;Fantezi / Fantasy","Çizgi roman / Comic;Fantezi / Fantasy;Kurgu / Fiction;Romantik / Romance","Çizgi roman / Comic;Fantezi / Fantasy;Kurgu / Fiction;Romantik / Romance","Gerilim / Thriller;Gizem / Mystery;Suç / Crime"
"2023/04/14 3:41:35 PM UTC+3","6","fiziksel kitapları / physical books;e-kitapları / e-books","Biyografi / Biography;Çizgi roman / Comic;Fantezi / Fantasy;Felsefe / Philosophy;Gizem / Mystery;Korku / Horror;Kurgu / Fiction;Kurgusal olmayan / Nonfiction;Maneviyat / Spriritual;Psikoloji / Psychology;Sanat / Art;Seyahat / Travel;Tarih / History;Yemek Kitapları / Cookbooks","Çizgi roman / Comic;Kurgu / Fiction;Maneviyat / Spriritual;Sanat / Art;Tarih / History","Gizem / Mystery;Kişisel Yardımı / Personal Assistance;Psikoloji / Psychology;Sanat / Art;Seyahat / Travel","Bilim / Science;Gerilim / Thriller;Gizem / Mystery;Korku / Horror;Kurgu / Fiction;Maneviyat / Spriritual;Psikoloji / Psychology;Sanat / Art","Felsefe / Philosophy;Hatıralar / Memories;Maneviyat / Spriritual;Psikoloji / Psychology;Sanat / Art","Fantezi / Fantasy;Felsefe / Philosophy;Maneviyat / Spriritual;Psikoloji / Psychology","Maneviyat / Spriritual;Psikoloji / Psychology"
"2023/04/14 3:41:54 PM UTC+3","1","fiziksel kitapları / physical books","Bilim / Science;Maneviyat / Spriritual","Çizgi roman / Comic;Romantik / Romance","Çizgi roman / Comic","Kurgusal olmayan / Nonfiction","Kurgusal olmayan / Nonfiction","Gerilim / Thriller;Gizem / Mystery","Kurgusal olmayan / Nonfiction"
"2023/04/14 3:45:12 PM UTC+3","1","e-kitapları / e-books","Maneviyat / Spriritual;Seyahat / Travel","Seyahat / Travel","Hatıralar / Memories","Felsefe / Philosophy","Kurgu / Fiction","Psikoloji / Psychology","Gizem / Mystery"
"2023/04/14 3:45:41 PM UTC+3","1","fiziksel kitapları / physical books","Çizgi roman / Comic;Psikoloji / Psychology","Çizgi roman / Comic","Çizgi roman / Comic;Korku / Horror;Kurgu / Fiction","Fantezi / Fantasy","Maneviyat / Spriritual","Korku / Horror","Çizgi roman / Comic"
"2023/04/14 3:47:25 PM UTC+3","4","fiziksel kitapları / physical books;e-kitapları / e-books","Bilim / Science;Biyografi / Biography;Felsefe / Philosophy;Maneviyat / Spriritual;Spor Dalları / Sports;Tarih / History","Bilim / Science;Spor Dalları / Sports;Tarih / History","Biyografi / Biography;Felsefe / Philosophy;Maneviyat / Spriritual;Sanat / Art;Şiir / Poetry","Bilim / Science;Bilimkurgu / Sci-fi;Biyografi / Biography;Hatıralar / Memories;Maneviyat / Spriritual;Tarih / History","Bilim / Science;Korku / Horror;Maneviyat / Spriritual","Biyografi / Biography;Hatıralar / Memories;Suç / Crime;Tarih / History","Bilim / Science;Bilimkurgu / Sci-fi"
"2023/04/14 3:48:13 PM UTC+3","8","fiziksel kitapları / physical books","Felsefe / Philosophy;Kurgu / Fiction;Maneviyat / Spriritual;Psikoloji / Psychology;Romantik / Romance;Şiir / Poetry;Tarih / History","Felsefe / Philosophy;Kurgu / Fiction;Romantik / Romance;Tarih / History","Felsefe / Philosophy;Maneviyat / Spriritual;Psikoloji / Psychology;Şiir / Poetry","Kurgu / Fiction;Maneviyat / Spriritual","Kurgu / Fiction;Sanat / Art;Şiir / Poetry","Kurgu / Fiction;Maneviyat / Spriritual","Kişisel Yardımı / Personal Assistance"
"2023/04/14 3:53:24 PM UTC+3","5","e-kitapları / e-books","Bilimkurgu / Sci-fi;Felsefe / Philosophy;Kişisel Yardımı / Personal Assistance;Sanat / Art;Yemek Kitapları / Cookbooks","Biyografi / Biography;Çizgi roman / Comic;Fantezi / Fantasy;Kişisel Yardımı / Personal Assistance;Romantik / Romance;Seyahat / Travel","Romantik / Romance;Seyahat / Travel","Gerilim / Thriller;Gizem / Mystery","Çizgi roman / Comic;Fantezi / Fantasy","Felsefe / Philosophy;Kişisel Yardımı / Personal Assistance","Gizem / Mystery"
"2023/04/14 4:08:17 PM UTC+3","8","fiziksel kitapları / physical books","Bilim / Science;Bilimkurgu / Sci-fi;Fantezi / Fantasy;Kurgu / Fiction;Romantik / Romance","Kurgu / Fiction;Romantik / Romance","Kurgu / Fiction","Bilimkurgu / Sci-fi","Korku / Horror","Psikoloji / Psychology","Gerilim / Thriller"
"2023/04/14 4:09:30 PM UTC+3","5","fiziksel kitapları / physical books","Biyografi / Biography;Kurgu / Fiction;Kurgusal olmayan / Nonfiction","Kurgusal olmayan / Nonfiction","Kurgu / Fiction","Suç / Crime","Şiir / Poetry","Biyografi / Biography","Çizgi roman / Comic"
"2023/04/14 4:20:12 PM UTC+3","1","fiziksel kitapları / physical books","Bilim / Science;Biyografi / Biography;Kurgu / Fiction;Maneviyat / Spriritual;Spor Dalları / Sports;Suç / Crime;Tarih / History","Maneviyat / Spriritual;Spor Dalları / Sports;Suç / Crime;Tarih / History","Maneviyat / Spriritual","Maneviyat / Spriritual;Seyahat / Travel;Spor Dalları / Sports","Maneviyat / Spriritual","Maneviyat / Spriritual;Suç / Crime","Klasik / Classic"
"2023/04/14 4:25:14 PM UTC+3","2","fiziksel kitapları / physical books","Gerilim / Thriller","Romantik / Romance","Hatıralar / Memories","Gerilim / Thriller;Korku / Horror","Gerilim / Thriller","Kurgu / Fiction","Gerilim / Thriller"
"2023/04/14 4:27:12 PM UTC+3","2","fiziksel kitapları / physical books","Gizem / Mystery;Klasik / Classic;Korku / Horror;Kurgu / Fiction;Tarih / History","Bilimkurgu / Sci-fi;Çizgi roman / Comic;Fantezi / Fantasy","Gerilim / Thriller;Gizem / Mystery;Korku / Horror;Kurgu / Fiction","Bilimkurgu / Sci-fi;Fantezi / Fantasy;Gerilim / Thriller;Gizem / Mystery;Hatıralar / Memories","Bilimkurgu / Sci-fi;Çizgi roman / Comic;Fantezi / Fantasy;Gerilim / Thriller;Hatıralar / Memories;Klasik / Classic;Korku / Horror;Kurgu / Fiction","Bilimkurgu / Sci-fi;Biyografi / Biography;Fantezi / Fantasy;Gerilim / Thriller;Gizem / Mystery;Klasik / Classic;Korku / Horror;Kurgu / Fiction","Bilimkurgu / Sci-fi;Çizgi roman / Comic;Fantezi / Fantasy;Gizem / Mystery;Hatıralar / Memories;Klasik / Classic;Korku / Horror;Kurgu / Fiction"
"2023/04/14 4:28:03 PM UTC+3","5","fiziksel kitapları / physical books;e-kitapları / e-books","Maneviyat / Spriritual;Tarih / History","Çizgi roman / Comic;Kurgu / Fiction;Maneviyat / Spriritual;Tarih / History","Çizgi roman / Comic;Romantik / Romance","Gerilim / Thriller;Gizem / Mystery;Tarih / History","Gerilim / Thriller;Gizem / Mystery","Maneviyat / Spriritual","Hatıralar / Memories"
"2023/04/14 4:28:51 PM UTC+3","10","fiziksel kitapları / physical books","Bilim / Science;Biyografi / Biography;Felsefe / Philosophy;Kurgu / Fiction;Maneviyat / Spriritual;Psikoloji / Psychology;Sanat / Art;Seyahat / Travel;Tarih / History","Kurgu / Fiction;Sanat / Art;Seyahat / Travel","Biyografi / Biography;Maneviyat / Spriritual;Psikoloji / Psychology","Biyografi / Biography;Felsefe / Philosophy;Seyahat / Travel","Maneviyat / Spriritual;Psikoloji / Psychology","Maneviyat / Spriritual","Fantezi / Fantasy"
"2023/04/14 4:29:13 PM UTC+3","2","fiziksel kitapları / physical books","Maneviyat / Spriritual;Romantik / Romance;Şiir / Poetry;Tarih / History","Maneviyat / Spriritual;Romantik / Romance;Şiir / Poetry","Tarih / History","Maneviyat / Spriritual","Maneviyat / Spriritual","Maneviyat / Spriritual","Romantik / Romance"
"2023/04/14 4:29:32 PM UTC+3","3","fiziksel kitapları / physical books","Bilim / Science;Çizgi roman / Comic;Fantezi / Fantasy;Felsefe / Philosophy;İşletme / Business;Kurgu / Fiction;Psikoloji / Psychology;Seyahat / Travel;Suç / Crime;Tarih / History","Fantezi / Fantasy;Gizem / Mystery;Sanat / Art;Spor Dalları / Sports;Suç / Crime","Gizem / Mystery;Hatıralar / Memories;Kurgu / Fiction;Suç / Crime","Fantezi / Fantasy;Gizem / Mystery;Korku / Horror;Sanat / Art","Fantezi / Fantasy;Gizem / Mystery;Hatıralar / Memories;Suç / Crime","Hatıralar / Memories;Korku / Horror;Romantik / Romance","Romantik / Romance"
"2023/04/14 4:29:48 PM UTC+3","1","fiziksel kitapları / physical books;e-kitapları / e-books","Maneviyat / Spriritual;Spor Dalları / Sports;Tarih / History","Biyografi / Biography;Çizgi roman / Comic;Sanat / Art;Seyahat / Travel;Spor Dalları / Sports;Tarih / History","Hatıralar / Memories;Maneviyat / Spriritual;Tarih / History","Çizgi roman / Comic;Fantezi / Fantasy;Korku / Horror;Kurgu / Fiction;Spor Dalları / Sports","Gizem / Mystery;Korku / Horror","Bilim / Science;Gizem / Mystery;Spor Dalları / Sports","Korku / Horror"
"2023/04/14 4:30:02 PM UTC+3","2","fiziksel kitapları / physical books","Felsefe / Philosophy","İşletme / Business","Maneviyat / Spriritual","Kurgu / Fiction","Fantezi / Fantasy","Psikoloji / Psychology","Klasik / Classic"
"2023/04/14 4:31:35 PM UTC+3","4","fiziksel kitapları / physical books","Bilimkurgu / Sci-fi;Seyahat / Travel;Spor Dalları / Sports;Tarih / History","Biyografi / Biography;Spor Dalları / Sports","Spor Dalları / Sports","Felsefe / Philosophy","Gerilim / Thriller;Gizem / Mystery;Korku / Horror","Biyografi / Biography","Bilimkurgu / Sci-fi"
"2023/04/14 4:41:13 PM UTC+3","5","fiziksel kitapları / physical books","Çizgi roman / Comic;Kurgu / Fiction;Kurgusal olmayan / Nonfiction;Romantik / Romance","Romantik / Romance","Çizgi roman / Comic","Kurgu / Fiction","Kurgusal olmayan / Nonfiction","Romantik / Romance","Romantik / Romance"
"2023/04/14 4:45:28 PM UTC+3","5","e-kitapları / e-books","İşletme / Business;Yemek Kitapları / Cookbooks","İşletme / Business;Sanat / Art;Yemek Kitapları / Cookbooks","Biyografi / Biography;Maneviyat / Spriritual;Romantik / Romance;Tarih / History","Bilimkurgu / Sci-fi;Biyografi / Biography;Maneviyat / Spriritual","Gizem / Mystery;Korku / Horror;Suç / Crime","Bilimkurgu / Sci-fi;Maneviyat / Spriritual;Psikoloji / Psychology","İşletme / Business;Kurgu / Fiction;Psikoloji / Psychology"
"2023/04/14 4:48:06 PM UTC+3","1","e-kitapları / e-books","Çizgi roman / Comic","Çizgi roman / Comic","Çizgi roman / Comic","Çizgi roman / Comic;Şiir / Poetry","Bilim / Science","Korku / Horror","Klasik / Classic"
"2023/04/14 4:50:24 PM UTC+3","1","fiziksel kitapları / physical books","Tarih / History","Tarih / History","Maneviyat / Spriritual","Sanat / Art","Maneviyat / Spriritual","Yemek Kitapları / Cookbooks","Klasik / Classic"
"2023/04/14 4:51:17 PM UTC+3","10","fiziksel kitapları / physical books;e-kitapları / e-books","Biyografi / Biography;Gizem / Mystery;İşletme / Business;Kurgu / Fiction;Kurgusal olmayan / Nonfiction;Maneviyat / Spriritual;Romantik / Romance;Tarih / History","Biyografi / Biography;Fantezi / Fantasy;Romantik / Romance","Maneviyat / Spriritual","Gizem / Mystery;Romantik / Romance","Korku / Horror","Suç / Crime;Tarih / History","Bilim / Science;Korku / Horror;Şiir / Poetry"
"2023/04/14 4:55:55 PM UTC+3","6","fiziksel kitapları / physical books","İşletme / Business;Kişisel Yardımı / Personal Assistance;Maneviyat / Spriritual;Psikoloji / Psychology","İşletme / Business;Kişisel Yardımı / Personal Assistance","Maneviyat / Spriritual;Psikoloji / Psychology","Biyografi / Biography","Maneviyat / Spriritual;Psikoloji / Psychology","Maneviyat / Spriritual;Psikoloji / Psychology","Maneviyat / Spriritual;Psikoloji / Psychology"
"2023/04/14 5:25:37 PM UTC+3","2","fiziksel kitapları / physical books","Romantik / Romance","Romantik / Romance","Hatıralar / Memories","Biyografi / Biography;Romantik / Romance;Suç / Crime","Seyahat / Travel","Gizem / Mystery","Gerilim / Thriller"
"2023/04/14 5:26:12 PM UTC+3","5","fiziksel kitapları / physical books","Felsefe / Philosophy;Klasik / Classic;Maneviyat / Spriritual;Tarih / History","Felsefe / Philosophy","Felsefe / Philosophy","Fantezi / Fantasy","Felsefe / Philosophy","Felsefe / Philosophy","Felsefe / Philosophy"
"2023/04/14 5:26:32 PM UTC+3","0","e-kitapları / e-books","Maneviyat / Spriritual","Yemek Kitapları / Cookbooks","Maneviyat / Spriritual","Yemek Kitapları / Cookbooks","Maneviyat / Spriritual","Maneviyat / Spriritual","Maneviyat / Spriritual"
"2023/04/14 5:27:33 PM UTC+3","2","e-kitapları / e-books","Fantezi / Fantasy;Romantik / Romance;Sanat / Art;Yemek Kitapları / Cookbooks","Çizgi roman / Comic;Fantezi / Fantasy","Romantik / Romance","Gizem / Mystery","Gizem / Mystery","Çizgi roman / Comic","Çizgi roman / Comic"
"2023/04/14 5:28:08 PM UTC+3","8","e-kitapları / e-books","Fantezi / Fantasy;Romantik / Romance;Tarih / History","Fantezi / Fantasy","Romantik / Romance","Fantezi / Fantasy","Psikoloji / Psychology","Romantik / Romance","Çizgi roman / Comic"
"2023/04/14 5:34:05 PM UTC+3","7","fiziksel kitapları / physical books","Çizgi roman / Comic;Fantezi / Fantasy;Gizem / Mystery;Korku / Horror;Kurgu / Fiction;Psikoloji / Psychology;Romantik / Romance;Seyahat / Travel;Tarih / History","Fantezi / Fantasy;Kurgu / Fiction;Romantik / Romance;Tarih / History","Romantik / Romance","Fantezi / Fantasy;Gizem / Mystery;Korku / Horror;Kurgu / Fiction;Tarih / History","Gizem / Mystery;Korku / Horror","Çizgi roman / Comic;Romantik / Romance","Korku / Horror;Suç / Crime"
"2023/04/14 5:36:02 PM UTC+3","1","fiziksel kitapları / physical books","Kurgu / Fiction","Romantik / Romance","Maneviyat / Spriritual","Psikoloji / Psychology","Maneviyat / Spriritual","Maneviyat / Spriritual","Bilim / Science"
"2023/04/14 5:39:37 PM UTC+3","2","fiziksel kitapları / physical books","Bilimkurgu / Sci-fi;Fantezi / Fantasy;Gizem / Mystery;Korku / Horror;Romantik / Romance;Suç / Crime","Bilimkurgu / Sci-fi;Fantezi / Fantasy;Kurgu / Fiction","Hatıralar / Memories;Romantik / Romance","Fantezi / Fantasy;Gerilim / Thriller;Gizem / Mystery","Gerilim / Thriller;Gizem / Mystery","Gerilim / Thriller;Hatıralar / Memories;Kişisel Yardımı / Personal Assistance","Bilimkurgu / Sci-fi;Çizgi roman / Comic;Felsefe / Philosophy"
"2023/04/14 5:43:21 PM UTC+3","4","e-kitapları / e-books","Hatıralar / Memories;Psikoloji / Psychology;Tarih / History;Yemek Kitapları / Cookbooks","Hatıralar / Memories;Maneviyat / Spriritual;Psikoloji / Psychology;Sanat / Art;Tarih / History","Hatıralar / Memories;Maneviyat / Spriritual","Sanat / Art;Seyahat / Travel","Gizem / Mystery","Yemek Kitapları / Cookbooks","Suç / Crime"
"2023/04/14 5:43:25 PM UTC+3","6","fiziksel kitapları / physical books","Gizem / Mystery;Hatıralar / Memories;Klasik / Classic;Psikoloji / Psychology;Seyahat / Travel;Tarih / History","Gizem / Mystery;Hatıralar / Memories","Çizgi roman / Comic;Gerilim / Thriller","Yemek Kitapları / Cookbooks","Romantik / Romance","Kurgu / Fiction","Gerilim / Thriller"
"2023/04/14 5:43:45 PM UTC+3","2","e-kitapları / e-books","Kurgu / Fiction;Psikoloji / Psychology;Sanat / Art;Şiir / Poetry;Tarih / History","Kurgu / Fiction;Psikoloji / Psychology;Romantik / Romance","Felsefe / Philosophy;Hatıralar / Memories;Maneviyat / Spriritual","Psikoloji / Psychology;Sanat / Art","Maneviyat / Spriritual","Psikoloji / Psychology","Maneviyat / Spriritual;Psikoloji / Psychology"
"2023/04/14 5:44:51 PM UTC+3","4","fiziksel kitapları / physical books","Çizgi roman / Comic;Kurgu / Fiction;Tarih / History","Çizgi roman / Comic;Kurgu / Fiction","Hatıralar / Memories;Maneviyat / Spriritual","Seyahat / Travel;Spor Dalları / Sports","Maneviyat / Spriritual;Psikoloji / Psychology","Çizgi roman / Comic;Gerilim / Thriller;Gizem / Mystery;Tarih / History","Çizgi roman / Comic;Felsefe / Philosophy"
"2023/04/14 5:45:01 PM UTC+3","2","fiziksel kitapları / physical books","Kurgusal olmayan / Nonfiction","Kurgusal olmayan / Nonfiction","Bilim / Science","Bilim / Science","Korku / Horror","Suç / Crime","Gerilim / Thriller;Korku / Horror"
"2023/04/14 5:56:29 PM UTC+3","7","fiziksel kitapları / physical books","Biyografi / Biography;Hatıralar / Memories;Klasik / Classic;Maneviyat / Spriritual;Seyahat / Travel","Biyografi / Biography;Hatıralar / Memories;Klasik / Classic;Maneviyat / Spriritual;Seyahat / Travel","Biyografi / Biography;Maneviyat / Spriritual","Maneviyat / Spriritual;Seyahat / Travel","Maneviyat / Spriritual","Biyografi / Biography;Maneviyat / Spriritual","Maneviyat / Spriritual"
"2023/04/14 5:56:38 PM UTC+3","3","e-kitapları / e-books","Psikoloji / Psychology;Sanat / Art;Tarih / History","Felsefe / Philosophy;İşletme / Business;Sanat / Art;Seyahat / Travel","Biyografi / Biography;Kurgu / Fiction;Psikoloji / Psychology","İşletme / Business;Kurgu / Fiction;Maneviyat / Spriritual","Kurgu / Fiction;Maneviyat / Spriritual;Psikoloji / Psychology;Romantik / Romance;Sanat / Art","Bilim / Science;Biyografi / Biography","Psikoloji / Psychology;Sanat / Art"
"2023/04/14 5:57:47 PM UTC+3","3","fiziksel kitapları / physical books","Fantezi / Fantasy;Felsefe / Philosophy;Psikoloji / Psychology;Tarih / History","Çizgi roman / Comic;Hatıralar / Memories;Yemek Kitapları / Cookbooks","Klasik / Classic;Psikoloji / Psychology;Romantik / Romance","Korku / Horror;Kurgu / Fiction;Seyahat / Travel","Gerilim / Thriller;Gizem / Mystery;Korku / Horror;Kurgu / Fiction","Felsefe / Philosophy;Hatıralar / Memories;Suç / Crime","Klasik / Classic;Kurgu / Fiction"
"2023/04/14 6:02:02 PM UTC+3","10","fiziksel kitapları / physical books","Bilimkurgu / Sci-fi;Biyografi / Biography;Fantezi / Fantasy;Gizem / Mystery;Korku / Horror;Kurgusal olmayan / Nonfiction;Psikoloji / Psychology;Romantik / Romance;Şiir / Poetry;Tarih / History","Biyografi / Biography;Hatıralar / Memories;Psikoloji / Psychology;Seyahat / Travel;Spor Dalları / Sports;Şiir / Poetry;Tarih / History","Fantezi / Fantasy;Felsefe / Philosophy;Gerilim / Thriller;Gizem / Mystery;Hatıralar / Memories;İşletme / Business;Kişisel Yardımı / Personal Assistance;Klasik / Classic;Korku / Horror;Kurgu / Fiction;Kurgusal olmayan / Nonfiction;Spor Dalları / Sports","Biyografi / Biography;Çizgi roman / Comic;Fantezi / Fantasy;Kişisel Yardımı / Personal Assistance;Klasik / Classic;Kurgu / Fiction;Romantik / Romance;Suç / Crime","Biyografi / Biography;Fantezi / Fantasy;İşletme / Business;Klasik / Classic;Maneviyat / Spriritual;Psikoloji / Psychology;Sanat / Art;Şiir / Poetry","Biyografi / Biography;Felsefe / Philosophy;Gizem / Mystery;İşletme / Business;Korku / Horror;Maneviyat / Spriritual;Romantik / Romance;Spor Dalları / Sports;Tarih / History","Biyografi / Biography;Çizgi roman / Comic;Gizem / Mystery;Kişisel Yardımı / Personal Assistance;Korku / Horror;Maneviyat / Spriritual;Psikoloji / Psychology;Seyahat / Travel;Şiir / Poetry;Tarih / History"
"2023/04/14 6:02:34 PM UTC+3","2","fiziksel kitapları / physical books","Maneviyat / Spriritual;Psikoloji / Psychology","Maneviyat / Spriritual;Psikoloji / Psychology","Maneviyat / Spriritual;Psikoloji / Psychology","Maneviyat / Spriritual;Psikoloji / Psychology","Maneviyat / Spriritual;Psikoloji / Psychology","Maneviyat / Spriritual;Psikoloji / Psychology","Maneviyat / Spriritual;Psikoloji / Psychology"
"2023/04/14 6:03:16 PM UTC+3","8","e-kitapları / e-books","Bilim / Science;Biyografi / Biography;Gerilim / Thriller;Hatıralar / Memories;Kişisel Yardımı / Personal Assistance;Kurgu / Fiction;Kurgusal olmayan / Nonfiction;Psikoloji / Psychology;Romantik / Romance;Seyahat / Travel;Suç / Crime","Bilim / Science;Biyografi / Biography;Fantezi / Fantasy;Gizem / Mystery;Hatıralar / Memories;Kişisel Yardımı / Personal Assistance;Kurgu / Fiction;Maneviyat / Spriritual;Psikoloji / Psychology;Seyahat / Travel;Spor Dalları / Sports;Şiir / Poetry;Tarih / History;Yemek Kitapları / Cookbooks","Bilim / Science;Biyografi / Biography;Felsefe / Philosophy;Kişisel Yardımı / Personal Assistance;Psikoloji / Psychology;Spor Dalları / Sports;Tarih / History;Yemek Kitapları / Cookbooks","Bilim / Science;Felsefe / Philosophy;Kişisel Yardımı / Personal Assistance;Maneviyat / Spriritual;Psikoloji / Psychology","Bilim / Science;Felsefe / Philosophy;Maneviyat / Spriritual;Psikoloji / Psychology","Bilim / Science;Biyografi / Biography;Felsefe / Philosophy;Kişisel Yardımı / Personal Assistance;Maneviyat / Spriritual;Psikoloji / Psychology","Bilim / Science;Felsefe / Philosophy;Kişisel Yardımı / Personal Assistance;Psikoloji / Psychology"
"2023/04/14 6:04:57 PM UTC+3","5","e-kitapları / e-books","Bilim / Science","Çizgi roman / Comic","Hatıralar / Memories","Gizem / Mystery","Korku / Horror","Yemek Kitapları / Cookbooks","Biyografi / Biography"
"2023/04/14 6:06:23 PM UTC+3","4","fiziksel kitapları / physical books","Fantezi / Fantasy;Gizem / Mystery;Hatıralar / Memories;Romantik / Romance;Sanat / Art;Tarih / History","Romantik / Romance;Sanat / Art;Tarih / History","Romantik / Romance;Şiir / Poetry","Korku / Horror","Gizem / Mystery;Korku / Horror","Sanat / Art","Bilim / Science;Bilimkurgu / Sci-fi;Biyografi / Biography;Felsefe / Philosophy"
"2023/04/14 6:12:06 PM UTC+3","1","e-kitapları / e-books","Bilim / Science;Fantezi / Fantasy;Psikoloji / Psychology","Psikoloji / Psychology","Psikoloji / Psychology","Bilim / Science","Maneviyat / Spriritual","Sanat / Art","Spor Dalları / Sports"
