"horodateur","books-read-per-week","physical-books-or-ebooks","daily-favorite-topics-to-read","happy","sad","surprised","fear","angry","disgust"
"2023/04/15 5:17:54 AM UTC+3","6","fiziksel kitapları / physical books;e-kitapları / e-books","Bilimkurgu / Sci-fi;Fantezi / Fantasy;Gizem / Mystery;Kurgu / Fiction;Psikoloji / Psychology;Romantik / Romance;Sanat / Art;Suç / Crime;Tarih / History","Bilimkurgu / Sci-fi;Kurgu / Fiction;Romantik / Romance","Bilimkurgu / Sci-fi","Bilimkurgu / Sci-fi;Fantezi / Fantasy;Korku / Horror","Fantezi / Fantasy;Gerilim / Thriller;Korku / Horror;Suç / Crime","Gerilim / Thriller;Gizem / Mystery;Korku / Horror;Seyahat / Travel","Kurgusal olmayan / Nonfiction"
"2023/04/15 5:27:30 AM UTC+3","5","fiziksel kitapları / physical books","Çizgi roman / Comic;Gizem / Mystery;Maneviyat / Spriritual","Spor Dalları / Sports;Tarih / History","Çizgi roman / Comic;Korku / Horror","Fantezi / Fantasy;Gerilim / Thriller;Korku / Horror;Kurgu / Fiction;Maneviyat / Spriritual","Gerilim / Thriller;Korku / Horror","Gerilim / Thriller;Kurgu / Fiction;Suç / Crime;Tarih / History","Gerilim / Thriller"
"2023/04/15 5:57:08 AM UTC+3","1","e-kitapları / e-books","Bilim / Science;Fantezi / Fantasy;Maneviyat / Spriritual","Romantik / Romance","Gerilim / Thriller","Fantezi / Fantasy;Gizem / Mystery","Gerilim / Thriller","Gerilim / Thriller","Kurgusal olmayan / Nonfiction"
"2023/04/15 6:27:00 AM UTC+3","1","fiziksel kitapları / physical books","İşletme / Business","Maneviyat / Spriritual","Fantezi / Fantasy","Çizgi roman / Comic","Biyografi / Biography","Bilim / Science","Felsefe / Philosophy"
"2023/04/15 7:24:28 AM UTC+3","2","e-kitapları / e-books","Biyografi / Biography;Çizgi roman / Comic","Çizgi roman / Comic;Fantezi / Fantasy;Romantik / Romance","Romantik / Romance","Bilim / Science;Hatıralar / Memories","Hatıralar / Memories;Sanat / Art","Korku / Horror;Suç / Crime","Suç / Crime"
"2023/04/15 8:41:30 AM UTC+3","0","fiziksel kitapları / physical books","Çizgi roman / Comic;Yemek Kitapları / Cookbooks","Çizgi roman / Comic","Romantik / Romance","Çizgi roman / Comic","Çizgi roman / Comic","Çizgi roman / Comic","Çizgi roman / Comic"
"2023/04/15 11:22:50 AM UTC+3","8","fiziksel kitapları / physical books","Maneviyat / Spriritual","Kurgusal olmayan / Nonfiction","Maneviyat / Spriritual","Yemek Kitapları / Cookbooks","Maneviyat / Spriritual","Psikoloji / Psychology","Bilim / Science"
"2023/04/15 2:44:14 PM UTC+3","1","e-kitapları / e-books","Çizgi roman / Comic","Çizgi roman / Comic","Çizgi roman / Comic","Çizgi roman / Comic","Çizgi roman / Comic","Çizgi roman / Comic","Çizgi roman / Comic"
"2023/04/15 5:09:16 PM UTC+3","3","fiziksel kitapları / physical books;e-kitapları / e-books","Bilim / Science;İşletme / Business;Maneviyat / Spriritual;Şiir / Poetry;Suç / Crime","Bilim / Science;Hatıralar / Memories;Kişisel Yardımı / Personal Assistance;Maneviyat / Spriritual;Şiir / Poetry;Suç / Crime","Bilim / Science;Felsefe / Philosophy;Kişisel Yardımı / Personal Assistance;Maneviyat / Spriritual;Psikoloji / Psychology;Şiir / Poetry","Bilim / Science;Biyografi / Biography;Kişisel Yardımı / Personal Assistance;Maneviyat / Spriritual;Psikoloji / Psychology;Şiir / Poetry","Bilim / Science;Maneviyat / Spriritual","Maneviyat / Spriritual;Şiir / Poetry","Bilim / Science;Maneviyat / Spriritual"
"2023/04/15 5:40:47 PM UTC+3","10","e-kitapları / e-books","Fantezi / Fantasy;Gizem / Mystery;Kurgu / Fiction;Romantik / Romance","Çizgi roman / Comic;Fantezi / Fantasy","Kurgu / Fiction;Maneviyat / Spriritual;Romantik / Romance;Yemek Kitapları / Cookbooks","Bilim / Science;Çizgi roman / Comic;Klasik / Classic;Maneviyat / Spriritual","Fantezi / Fantasy;Gizem / Mystery;Korku / Horror;Romantik / Romance","Kurgu / Fiction;Romantik / Romance;Seyahat / Travel","Bilim / Science;Kişisel Yardımı / Personal Assistance;Klasik / Classic;Maneviyat / Spriritual"
